model,cv,n_neighbors,accuracy,f1,roc_auc,n_bootstrap,shrinkage,solver,bandwidth,kernel
lda,bootstrap_500,,0.7238000000000001,0.7256415462852107,0.7808874259633035,500.0,0.12,lsqr,,
lda,bootstrap_1000,,0.7207285714285714,0.7220871530134055,0.778631513529737,1000.0,0.12,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.13,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7387755102040816,,0.13,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7612244897959183,,0.13,lsqr,,
lda,bootstrap_10,,0.7628571428571428,0.7594224263982917,0.8113808542687286,10.0,0.13,lsqr,,
lda,bootstrap_50,,0.7319999999999999,0.748403705922979,0.7900961373875759,50.0,0.13,lsqr,,
lda,bootstrap_100,,0.7221428571428572,0.7141447910159706,0.7734709347930117,100.0,0.13,lsqr,,
lda,bootstrap_500,,0.7237714285714286,0.7286758883048228,0.7817532670324656,500.0,0.13,lsqr,,
lda,bootstrap_1000,,0.7202999999999999,0.7231549742802434,0.7791742847244177,1000.0,0.13,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.14,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.14,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7612244897959183,,0.14,lsqr,,
lda,bootstrap_10,,0.7314285714285715,0.7005588121172193,0.7972704869712531,10.0,0.14,lsqr,,
lda,bootstrap_50,,0.7248571428571428,0.7232890896758257,0.7763678403772022,50.0,0.14,lsqr,,
lda,bootstrap_100,,0.7164285714285712,0.7094187148931943,0.7720591814308289,100.0,0.14,lsqr,,
lda,bootstrap_500,,0.7219428571428572,0.7275445052066323,0.7799916399077911,500.0,0.14,lsqr,,
lda,bootstrap_1000,,0.7227857142857144,0.7228277255344674,0.7811164376264644,1000.0,0.14,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.15,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.15,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7612244897959183,,0.15,lsqr,,
lda,bootstrap_10,,0.7142857142857142,0.6915867652836871,0.7896440345763208,10.0,0.15,lsqr,,
lda,bootstrap_50,,0.7280000000000001,0.7286090181356863,0.7852402242042796,50.0,0.15,lsqr,,
lda,bootstrap_100,,0.7222857142857143,0.7197380080267852,0.7766513118412652,100.0,0.15,lsqr,,
lda,bootstrap_500,,0.7237714285714286,0.726016033965011,0.7807839039746899,500.0,0.15,lsqr,,
lda,bootstrap_1000,,0.716742857142857,0.7182347104099379,0.776880804682874,1000.0,0.15,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.16,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.16,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.763265306122449,,0.16,lsqr,,
lda,bootstrap_10,,0.7371428571428571,0.7446243317481896,0.7919822753742626,10.0,0.16,lsqr,,
lda,bootstrap_50,,0.7302857142857144,0.7365029286382643,0.7836195890131935,50.0,0.16,lsqr,,
lda,bootstrap_100,,0.7132857142857145,0.7082946373407266,0.7748124404775055,100.0,0.16,lsqr,,
lda,bootstrap_500,,0.7254285714285713,0.7280425586042404,0.7841733084021405,500.0,0.16,lsqr,,
lda,bootstrap_1000,,0.7189142857142856,0.7197681444436621,0.7769900629878996,1000.0,0.16,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.17,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.17,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.763265306122449,,0.17,lsqr,,
lda,bootstrap_10,,0.7371428571428572,0.7292092711434977,0.7963278263931768,10.0,0.17,lsqr,,
lda,bootstrap_50,,0.7151428571428571,0.7102107236886464,0.7771194972655949,50.0,0.17,lsqr,,
lda,bootstrap_100,,0.7228571428571429,0.7285395513893111,0.7788309478236735,100.0,0.17,lsqr,,
lda,bootstrap_500,,0.7218571428571428,0.7259247632974744,0.7790108221934174,500.0,0.17,lsqr,,
lda,bootstrap_1000,,0.7242285714285713,0.7254748457381722,0.7814364916906166,1000.0,0.17,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.18,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.18,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.763265306122449,,0.18,lsqr,,
lda,bootstrap_10,,0.7,0.6982405469848526,0.7476075591678764,10.0,0.18,lsqr,,
lda,bootstrap_50,,0.7217142857142856,0.7200402301446411,0.7777479934654656,50.0,0.18,lsqr,,
lda,bootstrap_100,,0.7235714285714286,0.7254169516133097,0.7836756683011946,100.0,0.18,lsqr,,
lda,bootstrap_500,,0.7223714285714287,0.7246116294853399,0.7800005683936951,500.0,0.18,lsqr,,
lda,bootstrap_1000,,0.7201142857142856,0.7205169175269452,0.780070373352887,1000.0,0.18,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.19,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.19,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7612244897959183,,0.19,lsqr,,
lda,bootstrap_10,,0.7142857142857142,0.739724894964217,0.7726464146637824,10.0,0.19,lsqr,,
lda,bootstrap_50,,0.7131428571428572,0.7120612061449614,0.7708744683164579,50.0,0.19,lsqr,,
lda,bootstrap_100,,0.7140000000000001,0.7169816022651168,0.7741690076365765,100.0,0.19,lsqr,,
lda,bootstrap_500,,0.7175142857142858,0.7206591486769248,0.777659437410179,500.0,0.19,lsqr,,
lda,bootstrap_1000,,0.7221857142857142,0.7229771705698099,0.7800777692121837,1000.0,0.19,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.2,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.2,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.2,lsqr,,
lda,bootstrap_10,,0.6871428571428572,0.6873814519455046,0.7769011374413864,10.0,0.2,lsqr,,
lda,bootstrap_50,,0.7177142857142857,0.7297752233019138,0.7782419922546616,50.0,0.2,lsqr,,
lda,bootstrap_100,,0.7171428571428572,0.7135600943435747,0.7835748067187376,100.0,0.2,lsqr,,
lda,bootstrap_500,,0.7155142857142857,0.7144348267826538,0.7745270457273841,500.0,0.2,lsqr,,
lda,bootstrap_1000,,0.7210714285714285,0.7214322901354338,0.7809648790546128,1000.0,0.2,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.21,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.21,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.21,lsqr,,
lda,bootstrap_10,,0.7085714285714285,0.7211662533997096,0.7718926240028766,10.0,0.21,lsqr,,
lda,bootstrap_50,,0.7099999999999999,0.7047271612932643,0.7728884395794021,50.0,0.21,lsqr,,
lda,bootstrap_100,,0.7214285714285715,0.7236766371807184,0.7769677729495864,100.0,0.21,lsqr,,
lda,bootstrap_500,,0.7198571428571429,0.7225298804550248,0.7819178411793871,500.0,0.21,lsqr,,
lda,bootstrap_1000,,0.7212142857142857,0.7227664081331987,0.7798007111854315,1000.0,0.21,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.22,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428573,,0.22,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.22,lsqr,,
lda,bootstrap_10,,0.7257142857142858,0.715920683033145,0.783597744486276,10.0,0.22,lsqr,,
lda,bootstrap_50,,0.7145714285714285,0.7141644717204279,0.7679585388434925,50.0,0.22,lsqr,,
lda,bootstrap_100,,0.7137142857142859,0.7084964151759091,0.7715160459413845,100.0,0.22,lsqr,,
lda,bootstrap_500,,0.7204285714285713,0.7222262566340476,0.7823269909625066,500.0,0.22,lsqr,,
lda,bootstrap_1000,,0.7244571428571428,0.7278111278721745,0.7839122723688196,1000.0,0.22,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.23,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428573,,0.23,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.23,lsqr,,
lda,bootstrap_10,,0.7371428571428571,0.7265010170979084,0.7691331920746994,10.0,0.23,lsqr,,
lda,bootstrap_50,,0.7294285714285715,0.7296342778041816,0.7880166132608762,50.0,0.23,lsqr,,
lda,bootstrap_100,,0.7195714285714288,0.7216294007818759,0.7796529339803356,100.0,0.23,lsqr,,
lda,bootstrap_500,,0.7225999999999999,0.7230678344311996,0.7792816066429495,500.0,0.23,lsqr,,
lda,bootstrap_1000,,0.7185999999999999,0.7183629390825615,0.777986142372577,1000.0,0.23,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.24,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428573,,0.24,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.24,lsqr,,
lda,bootstrap_10,,0.7385714285714287,0.725812397944592,0.7769354607477363,10.0,0.24,lsqr,,
lda,bootstrap_50,,0.7205714285714285,0.7166540536266597,0.7783303496649645,50.0,0.24,lsqr,,
lda,bootstrap_100,,0.7207142857142856,0.7302780392594562,0.7832222325616643,100.0,0.24,lsqr,,
lda,bootstrap_500,,0.7261714285714286,0.7268174179407818,0.783016833734074,500.0,0.24,lsqr,,
lda,bootstrap_1000,,0.7200714285714286,0.7185643592212773,0.7800166130406672,1000.0,0.24,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.25,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.25,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.25,lsqr,,
lda,bootstrap_10,,0.7542857142857142,0.7657294597499691,0.8081248560912749,10.0,0.25,lsqr,,
lda,bootstrap_50,,0.7131428571428572,0.7144574473980595,0.7784681083644809,50.0,0.25,lsqr,,
lda,bootstrap_100,,0.7231428571428572,0.7267090817520163,0.7866427211549422,100.0,0.25,lsqr,,
lda,bootstrap_500,,0.7194571428571428,0.7166013263550156,0.7787950912403201,500.0,0.25,lsqr,,
lda,bootstrap_1000,,0.7221571428571428,0.7234702264656357,0.7793378837938164,1000.0,0.25,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.26,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.26,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7571428571428571,,0.26,lsqr,,
lda,bootstrap_10,,0.7057142857142857,0.6982908745877223,0.7789461888844289,10.0,0.26,lsqr,,
lda,bootstrap_50,,0.7294285714285715,0.741018389417502,0.7870349203465807,50.0,0.26,lsqr,,
lda,bootstrap_100,,0.7282857142857143,0.7288598188506442,0.783693293885794,100.0,0.26,lsqr,,
lda,bootstrap_500,,0.7216571428571429,0.7236629975379435,0.7811490935219155,500.0,0.26,lsqr,,
lda,bootstrap_1000,,0.7194142857142857,0.7194540189706559,0.7772377049921266,1000.0,0.26,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7666666666666666,,0.27,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.27,lsqr,,
lda,5x2-stratified,,0.7071428571428571,0.7091666666666667,0.7551020408163265,,0.27,lsqr,,
lda,bootstrap_10,,0.6928571428571428,0.6954403072738332,0.7929583752146058,10.0,0.27,lsqr,,
lda,bootstrap_50,,0.724857142857143,0.7307045275104249,0.7927654024051521,50.0,0.27,lsqr,,
lda,bootstrap_100,,0.7247142857142856,0.7207068146637977,0.7819739027402177,100.0,0.27,lsqr,,
lda,bootstrap_500,,0.7246571428571429,0.7261399426175191,0.7791117508887059,500.0,0.27,lsqr,,
lda,bootstrap_1000,,0.7274142857142856,0.7307130076104643,0.7848972268133202,1000.0,0.27,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7666666666666666,,0.28,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.28,lsqr,,
lda,5x2-stratified,,0.7,0.6981776556776558,0.753061224489796,,0.28,lsqr,,
lda,bootstrap_10,,0.7214285714285714,0.7219629753514005,0.8113646946213289,10.0,0.28,lsqr,,
lda,bootstrap_50,,0.7271428571428572,0.7330745740907296,0.7853747935037709,50.0,0.28,lsqr,,
